,Date,User,Tweet
79,2017-12-20 13:31:56+00:00,Saif_HDS,@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC Thanks RG @OfficeOfRG for all ur efforts..Keep up the hard work..👍👍
80,2017-12-20 12:50:38+00:00,DrSuhail3,@BharatSolankee @INCGujarat @INCIndia @OfficeOfRG @ashokgehlot51 @jitupatwari @shaktisinhgohil @ahmedpatel @arjunmodhwadia @IYC Sir please let me know if u r going to arrange this anywhere near to Sabarkantha. I want to participate.
81,2017-12-20 02:33:06+00:00,MitaRakesh,"@BharatSolankee @INCGujarat very nive perfomance

khara khari no jung hato.......but only 

9 seat........?"
82,2017-12-19 15:05:47+00:00,VikasWaghela2,@BharatSolankee @ashokgehlot51 @INCIndia @INCGujarat @shaktisinhgohil @jitupatwari @NavsarjnGujarat @IYC @SaralPatel007 @SATAVRAJEEV Congralations to all new congress party's elected mla
83,2017-12-19 13:39:26+00:00,mambasting,@BharatSolankee @rachitseth @INCGujarat U PIDIs hv no option after the drubbing. Nxt election even the farmers will kick u out.
84,2017-12-19 13:39:11+00:00,MR_gibraltar,"@BharatSolankee @priyankac19 @INCGujarat All the best sir for the future, u faught well"
85,2017-12-19 11:32:18+00:00,AMerukar,@BharatSolankee @INCGujarat I truly appreciate your efforts.
86,2017-12-19 06:57:48+00:00,facilitatornk,@BharatSolankee @INCGujarat Why r u not complaining to the EC about the EVM tampering in the 80 seats that u won? Looks like u were also expecting @BJP4India to get 150+ c.c @Arthshastri
87,2017-12-19 06:16:00+00:00,uday_waman,"@BharatSolankee @INCGujarat You raise anything but dont raise voice against EVM machine. Accept defeat without any reason. Dont frustrate, do politics positively."
88,2017-12-19 05:19:45+00:00,Gaurishankarv9,@BharatSolankee @INCGujarat Also say that you will continue to maintain pace for winning 2019 parliament election
